language,ontological.category,marker,n,position
Chiriguano,Thing,i,92,Suffix
Chiriguano,Thing,ĩ,1,Suffix
Chiriguano,Thing,u,87,Suffix
Chiriguano,Thing,#,703,Prefix
Chong,Action,#,13,Suffix
Chong,Action,a,179,Suffix
Chong,Action,c,81,Suffix
Chong,Action,#,273,Prefix
Chong,Thing,#,52,Suffix
Chong,Thing,a,362,Suffix
Chong,Thing,c,172,Suffix
Chong,Thing,mewd,2,Suffix
Chong,Thing,#,491,Prefix
Chong,Thing,kə,97,Prefix
Chorote,Action,#,199,Suffix
Chorote,Action,#,199,Prefix
Chorote,Thing,#,487,Suffix
Chorote,Thing,#,487,Prefix
Cofán,Action,#,17,Suffix
Cofán,Action,ɨye,36,Suffix
Cofán,Action,ɲe,29,Suffix
Cofán,Action,ʔčo,2,Suffix
Cofán,Action,ʔsɨ,1,Suffix
Cofán,Action,aɲe,36,Suffix
Cofán,Action,ãɲe,24,Suffix
Cofán,Action,aʔsɨ,2,Suffix
Cofán,Action,ãẽɲe,8,Suffix
Cofán,Action,aeɲe,13,Suffix
Cofán,Action,aye,63,Suffix
Cofán,Action,e,2,Suffix
Cofán,Action,eye,37,Suffix
Cofán,Action,iaɲe,16,Suffix
Cofán,Action,ihayi,2,Suffix
Cofán,Action,iye,47,Suffix
Cofán,Action,oeɲe,14,Suffix
Cofán,Action,oye,27,Suffix
Cofán,Action,ye,2,Suffix
Cofán,Action,#,378,Prefix
Cofán,Thing,#,77,Suffix
Cofán,Thing,ʔčo,61,Suffix
Cofán,Thing,a,197,Suffix
Cofán,Thing,aʔčo,16,Suffix
Cofán,Thing,e,108,Suffix
Cofán,Thing,i,75,Suffix
Cofán,Thing,ĩ,9,Suffix
Cofán,Thing,iko,8,Suffix
Cofán,Thing,ĩko,2,Suffix
Cofán,Thing,kɨ,38,Suffix
Cofán,Thing,o,141,Suffix
Cofán,Thing,oʔčo,16,Suffix
Cofán,Thing,#,748,Prefix
Colorado,Action,#,53,Suffix
Colorado,Action,akeno,17,Suffix
Colorado,Action,ano,71,Suffix
Colorado,Action,ari,4,Suffix
Colorado,Action,iki,3,Suffix
Colorado,Action,ino,91,Suffix
Colorado,Action,ĩno,1,Suffix
Colorado,Action,keno,13,Suffix
Colorado,Action,no,39,Suffix
Colorado,Action,ole,6,Suffix
Colorado,Action,ono,25,Suffix
Colorado,Action,#,323,Prefix
Colorado,Thing,#,92,Suffix
Colorado,Thing,a,153,Suffix
Colorado,Thing,i,62,Suffix
Colorado,Thing,ĩ,10,Suffix
Colorado,Thing,o,81,Suffix
Colorado,Thing,u,49,Suffix
Colorado,Thing,ũ,8,Suffix
Colorado,Thing,#,455,Prefix
Cuoi,Action,#,268,Suffix
Cuoi,Action,ʔ,68,Suffix
Cuoi,Action,#,239,Prefix
Cuoi,Action,k,41,Prefix
Cuoi,Action,t,56,Prefix
Cuoi,Thing,#,440,Suffix
Cuoi,Thing,ʔ,145,Suffix
Cuoi,Thing,n,48,Suffix
Cuoi,Thing,ń,14,Suffix
Cuoi,Thing,#,207,Prefix
Cuoi,Thing,c,44,Prefix
Cuoi,Thing,k,148,Prefix
Cuoi,Thing,m,47,Prefix
Cuoi,Thing,p,67,Prefix
Cuoi,Thing,s,48,Prefix
Cuoi,Thing,t,86,Prefix
Czech,Action,#,28,Suffix
Czech,Action,aci,150,Suffix
Czech,Action,acise,12,Suffix
Czech,Action,ci,11,Suffix
Czech,Action,cise,3,Suffix
Czech,Action,eci,45,Suffix
Czech,Action,esci,8,Suffix
Czech,Action,ici,154,Suffix
Czech,Action,icise,17,Suffix
Czech,Action,isci,4,Suffix
Czech,Action,noʊci,20,Suffix
Czech,Action,tʃatek,2,Suffix
Czech,Action,tse,2,Suffix
Czech,Action,tsi,6,Suffix
Czech,Action,#,462,Prefix
Czech,Thing,#,933,Suffix
Czech,Thing,i,65,Suffix
Czech,Thing,#,998,Prefix
Danish,Action,#,60,Suffix
Danish,Action,ə,269,Suffix
Danish,Action,əʔʌp,4,Suffix
Danish,Action,ʔʌ,19,Suffix
Danish,Action,#,352,Prefix
Danish,Thing,#,736,Suffix
Danish,Thing,#,736,Prefix
Dargwa,Action,#,24,Suffix
Dargwa,Action,bires,34,Suffix
Dargwa,Action,es,286,Suffix
Dargwa,Action,ibsi,1,Suffix
Dargwa,Action,ikes,63,Suffix
Dargwa,Action,kibsi,2,Suffix
Dargwa,Action,#,410,Prefix
Dargwa,Thing,#,469,Suffix
Dargwa,Thing,a,276,Suffix
Dargwa,Thing,an,45,Suffix
Dargwa,Thing,i,225,Suffix
Dargwa,Thing,#,1015,Prefix
