49A Number of Cases,98A Alignment of Case Marking of Full Noun Phrases,22A Inflectional Synthesis of the Verb,122A Relativization on Subjects,28A Case Syncretism,128A Utterance Complement Clauses,29A Syncretism in Verbal Person/Number Marking,129A Hand and Arm,102A Verbal Person Marking,48A Person Marking on Adpositions,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,34A Occurrence of Nominal Plurality,134A Green and Blue,36A The Associative Plural,136A M-T Pronouns,136B M in First Person Singular,92A Position of Polar Question Particles,65A Perfective/Imperfective Aspect,70A The Morphological Imperative,57A Position of Pronominal Possessive Affixes,59A Possessive Classification,73A The Optative,41A Distance Contrasts in Demonstratives,141A Writing Systems
3 3 cases,1 Neutral,5 8-9 categories per word,NA,1 No case marking,NA,2 Syncretic,2 Different,5 Both the A and P arguments,2 No person marking,NA,3 Other,NA,2 Indirect only,NA,NA,NA,1 No M-T pronouns,1 No m in first person singular,NA,2 No grammatical marking,1 Second singular and second plural,1 Possessive prefixes,1 No possessive classification,2 Inflectional optative absent,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,NA,NA,2 Green/blue,NA,NA,NA,2 Final,NA,NA,1 Possessive prefixes,NA,NA,NA,NA
1 No morphological case-marking,NA,NA,NA,NA,NA,NA,1 Identical,1 No person marking,1 No adpositions,NA,NA,NA,1 No grammatical evidentials,"6 All nouns, always obligatory",NA,NA,1 No M-T pronouns,1 No m in first person singular,NA,2 No grammatical marking,5 No second-person imperatives,4 No possessive affixes,NA,1 Inflectional optative present,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 8-9 cases,NA,NA,NA,1 No case marking,NA,3 Not syncretic,NA,5 Both the A and P arguments,4 Pronouns and nouns,1 Affixes on verbs,3 Other,3 No overlap,1 No grammatical evidentials,NA,NA,NA,1 No M-T pronouns,1 No m in first person singular,NA,NA,5 No second-person imperatives,1 Possessive prefixes,2 Two classes,NA,4 Four-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Indirect only,NA,NA,NA,NA,NA,6 No question particle,NA,NA,2 Possessive suffixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,2 Verbal constructions,3 Other,2 Overlap for either possibility or necessity,NA,NA,NA,3 Unique periphrastic associative plural,NA,NA,NA,1 Grammatical marking,5 No second-person imperatives,4 No possessive affixes,NA,NA,3 Three-way contrast,NA
