Form,transcription,englishName,language,englishPOS,languageFamily,alt_transcription,alt_form,concepticonID,phon,method,ontologicalCategory,include
doblegar,StandardOrth,fold,Catalan,verb,Indo-European,NA,NA,NA,dɔblɛɡaɾ,NA,Action,FALSE
fumar,StandardOrth,smoke (tobacco),Catalan,verb,Indo-European,NA,NA,NA,fumaɾ,NA,Action,FALSE
sembrar,StandardOrth,plant (vb),Catalan,verb,Indo-European,NA,NA,NA,sɛmbɾaɾ,NA,Action,FALSE
plantar,StandardOrth,plant (vb),Catalan,verb,Indo-European,NA,NA,NA,plantaɾ,NA,Action,FALSE
batre,StandardOrth,thresh,Catalan,verb,Indo-European,NA,NA,NA,batɾɛ,NA,Action,FALSE
trillar,StandardOrth,thresh,Catalan,verb,Indo-European,NA,NA,NA,tɾiʎaɾ,NA,Action,FALSE
segar,StandardOrth,"mow, reap",Catalan,verb,Indo-European,NA,NA,NA,sɛɡaɾ,NA,Action,FALSE
collir,StandardOrth,"mow, reap",Catalan,verb,Indo-European,NA,NA,NA,kɔʎiɾ,NA,Action,FALSE
cavar,StandardOrth,dig,Catalan,verb,Indo-European,NA,NA,NA,kabaɾ,NA,Action,FALSE
llaurar,StandardOrth,plow,Catalan,verb,Indo-European,NA,NA,NA,ʎabɾaɾ,NA,Action,FALSE
cultivar,StandardOrth,"cultivate, till",Catalan,verb,Indo-European,NA,NA,NA,kultibaɾ,NA,Action,FALSE
conrear,StandardOrth,"cultivate, till",Catalan,verb,Indo-European,NA,NA,NA,kɔnɾɛaɾ,NA,Action,FALSE
habitar,StandardOrth,"dwell, live",Catalan,verb,Indo-European,NA,NA,NA,abitaɾ,NA,Action,FALSE
tenyir,StandardOrth,dye,Catalan,verb,Indo-European,NA,NA,NA,tɛɲʒɾ,NA,Action,FALSE
cosir,StandardOrth,sew,Catalan,verb,Indo-European,NA,NA,NA,kɔsiɾ,NA,Action,FALSE
filar,StandardOrth,spin,Catalan,verb,Indo-European,NA,NA,NA,filaɾ,NA,Action,FALSE
vestir-se,StandardOrth,put on (clothes),Catalan,verb,Indo-European,NA,NA,NA,bɛstiɾsɛ,NA,Action,FALSE
munyir,StandardOrth,milk (vb),Catalan,verb,Indo-European,NA,NA,NA,muɲʒɾ,NA,Action,FALSE
aixafar,StandardOrth,"crush, grind",Catalan,verb,Indo-European,NA,NA,NA,aʒʃafaɾ,NA,Action,FALSE
moldre,StandardOrth,"crush, grind",Catalan,verb,Indo-European,NA,NA,NA,mɔldɾɛ,NA,Action,FALSE
pastar,StandardOrth,knead,Catalan,verb,Indo-European,NA,NA,NA,pastaɾ,NA,Action,FALSE
gratar,StandardOrth,scrape,Catalan,verb,Indo-European,NA,NA,NA,ɡɾataɾ,NA,Action,FALSE
escórrer,StandardOrth,"sieve, strain",Catalan,verb,Indo-European,NA,NA,NA,ɛskoɾɾɛɾ,NA,Action,FALSE
pelar,StandardOrth,peel,Catalan,verb,Indo-European,NA,NA,NA,pɛlaɾ,NA,Action,FALSE
bullir,StandardOrth,boil (vb),Catalan,verb,Indo-European,NA,NA,NA,buʎiɾ,NA,Action,FALSE
cuinar,StandardOrth,cook,Catalan,verb,Indo-European,NA,NA,NA,kuʒnaɾ,NA,Action,FALSE
sofocar-se,StandardOrth,choke,Catalan,verb,Indo-European,NA,NA,NA,sɔfɔkaɾsɛ,NA,Action,FALSE
ennuegar-se,StandardOrth,choke,Catalan,verb,Indo-European,NA,NA,NA,ɛnuɛɡaɾsɛ,NA,Action,FALSE
empassar-se,StandardOrth,swallow,Catalan,verb,Indo-European,NA,NA,NA,ɛmpasaɾsɛ,NA,Action,FALSE
mastegar,StandardOrth,chew,Catalan,verb,Indo-European,NA,NA,NA,mastɛɡaɾ,NA,Action,FALSE
xuclar,StandardOrth,suck,Catalan,verb,Indo-European,NA,NA,NA,ʃuklaɾ,NA,Action,FALSE
beure,StandardOrth,drink,Catalan,verb,Indo-European,NA,NA,NA,bɛbɾɛ,NA,Action,TRUE
menjar,StandardOrth,eat,Catalan,verb,Indo-European,NA,NA,NA,mɛnʒaɾ,NA,Action,FALSE
descansar,StandardOrth,rest,Catalan,verb,Indo-European,NA,NA,NA,dɛskansaɾ,NA,Action,FALSE
curar,StandardOrth,"cure, heal",Catalan,verb,Indo-European,NA,NA,NA,kuɾaɾ,NA,Action,FALSE
enterrar,StandardOrth,bury (the dead),Catalan,verb,Indo-European,NA,NA,NA,ɛntɛɾɾaɾ,NA,Action,FALSE
matar,StandardOrth,kill,Catalan,verb,Indo-European,NA,NA,NA,mataɾ,NA,Action,FALSE
ofegat,StandardOrth,drowned,Catalan,verb,Indo-European,NA,NA,NA,ɔfɛɡat,NA,Action,FALSE
morir,StandardOrth,"die, dead",Catalan,verb,Indo-European,NA,NA,NA,mɔɾiɾ,NA,Action,FALSE
mort,StandardOrth,"die, dead",Catalan,verb,Indo-European,NA,NA,NA,mɔɾt,NA,Action,FALSE
viure,StandardOrth,"live, living, life",Catalan,NA,Indo-European,NA,NA,NA,bibɾɛ,NA,Action,FALSE
vida,StandardOrth,"live, living, life",Catalan,NA,Indo-European,NA,NA,NA,bida,NA,Action,FALSE
concebre,StandardOrth,conceive,Catalan,verb,Indo-European,NA,NA,NA,kɔnsɛbɾɛ,NA,Action,FALSE
néixer,StandardOrth,born (to be),Catalan,verb,Indo-European,NA,NA,NA,neʒʃɛɾ,NA,Action,FALSE
nascut,StandardOrth,born (to be),Catalan,verb,Indo-European,NA,NA,NA,naskut,NA,Action,FALSE
engendrar,StandardOrth,beget (of father),Catalan,verb,Indo-European,NA,NA,NA,ɛnʒɛndɾaɾ,NA,Action,FALSE
